,,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB
,,AUC,AUC,AUC,F1,F1,F1,AUC,AUC,AUC,F1,F1,F1,AUC,AUC,AUC,F1,F1,F1
,,test,val,train,test,val,train,test,val,train,test,val,train,test,val,train,test,val,train
CNN,windows10s,0.4688,0.5254,0.5815,0.3199,0.3611,0.3561,0.5441,0.5804,0.6121,0.296,0.296,0.2973,0.8628,0.8698,0.945,0.7117,0.7422,0.8503
CNN,windows2.5s,0.5413,0.5969,0.7094,0.3623,0.4354,0.5368,0.6414,0.6322,0.6905,0.3123,0.3349,0.398,0.9156,0.9256,0.9635,0.7629,0.8134,0.8831
GRUAttNet,windows2.5s,0.7737,0.7759,0.8263,0.4423,0.5323,0.6262,0.6544,0.6833,0.7978,0.3623,0.478,0.5945,0.9666,0.9701,0.9914,0.8316,0.8771,0.9131
GRUAttNet,windows10s,0.6503,0.6154,0.762,0.4072,0.374,0.5278,0.6865,0.7141,0.8148,0.3926,0.4417,0.5515,0.9362,0.9301,0.9623,0.7504,0.8405,0.88
ResNet,windows10s,0.8447,0.9024,0.9603,0.4646,0.5884,0.8633,0.7753,0.8095,0.8967,0.4739,0.5106,0.6898,0.9774,0.9713,0.9984,0.8307,0.8943,0.9537
ResNet,windows2.5s,0.8945,0.9192,0.9925,0.5386,0.5671,0.9206,0.7119,0.7871,0.9317,0.4719,0.5322,0.7658,0.9756,0.981,0.9979,0.8573,0.8689,0.9416
RTA-CNN,windows10s,0.6038,0.7897,0.7868,0.3805,0.524,0.4674,0.6889,0.6994,0.7554,0.2959,0.2959,0.2959,0.9299,0.942,0.9851,0.7464,0.8684,0.912
RTA-CNN,windows2.5s,0.6187,0.7489,0.8131,0.4107,0.5319,0.5686,0.7301,0.7182,0.8551,0.3376,0.4592,0.3873,0.9426,0.9453,0.9839,0.8383,0.8486,0.9496
