,,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000
,,AUC,AUC,AUC,F1,F1,F1,AUC,AUC,AUC,F1,F1,F1
,,test,val,train,test,val,train,test,val,train,test,val,train
CNN,windows2.5s,0.9437,0.9424,0.9552,0.4213,0.4493,0.4789,0.9486,0.9487,0.9735,0.6587,0.6624,0.7162
CNN,sequence10s,0.7691,0.7575,0.9097,0.2498,0.2563,0.403,0.7544,0.7555,0.8188,0.3163,0.3136,0.3645
GRUAttNet,windows2.5s,0.9835,0.9841,0.9899,0.6826,0.6882,0.7311,0.9833,0.9834,0.9906,0.8406,0.8406,0.8847
GRUAttNet,sequence10s,0.9843,0.9829,0.9875,0.6657,0.6847,0.6961,0.9857,0.9857,0.9902,0.8458,0.8488,0.8756
ResNet,windows2.5s,0.9829,0.9833,0.9935,0.689,0.6853,0.8293,0.9871,0.9899,0.9977,0.8614,0.8771,0.9405
ResNet,sequence10s,0.9786,0.9796,0.9908,0.6674,0.7077,0.7768,0.9854,0.9852,0.9953,0.8508,0.8526,0.9179
RTA-CNN,windows2.5s,0.8242,0.8199,0.8341,0.5765,0.5822,0.6043,0.9805,0.9787,0.9917,0.8557,0.8617,0.9321
RTA-CNN,sequence10s,0.5422,0.5506,0.5486,0.1528,0.1528,0.1528,0.9635,0.9635,0.9709,0.7689,0.7712,0.804
