,,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,MIT-BIH-SV,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART,INCART
,,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1
,,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train
,,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all
CNN,beats0.72s,0.8598,0.5283,0.9346,0.7743,0.8828,0.5788,0.9667,0.8094,0.9395,0.831,0.9865,0.919,0.9277,0.007,0.5356,0.4901,0.9566,0.1372,0.6536,0.5825,0.9819,0.5103,0.8859,0.7927,0.9331,0.7667,0.9519,0.8839,0.9381,0.8246,0.9442,0.9023,0.978,0.8953,0.9702,0.9478,0.9567,0.4739,0.6987,0.7097,0.9687,0.5954,0.7986,0.7876,0.9858,0.8055,0.8858,0.8924,0.95,0.5545,0.9762,0.8269,0.9625,0.6529,0.9773,0.8642,0.9937,0.9041,0.9985,0.9654,0.95,0.0625,0.7195,0.5773,0.9621,0.4575,0.7834,0.7343,0.9951,0.7452,0.9779,0.906
CNN,beats2.4s,0.9451,0.7933,0.9799,0.9061,0.9466,0.8493,0.9804,0.9254,0.9937,0.9813,0.9981,0.991,0.9614,0.1226,0.7331,0.6057,0.9725,0.1444,0.8184,0.6451,0.9927,0.8199,0.9544,0.9223,0.9588,0.9353,0.9728,0.9556,0.9698,0.9517,0.9781,0.9665,0.9948,0.9919,0.9957,0.9941,0.9651,0.5713,0.7586,0.765,0.9707,0.5998,0.7918,0.7875,0.9902,0.8635,0.9197,0.9245,0.9781,0.7946,0.9827,0.9185,0.9802,0.8036,0.9829,0.9222,0.9985,0.9901,0.9994,0.996,0.9561,0.201,0.7395,0.6322,0.9711,0.6193,0.8181,0.8028,0.9968,0.9019,0.9817,0.9601
CNN,windows2.5s,0.7848,0.5607,0.875,0.7402,0.7994,0.5874,0.8854,0.7574,0.8622,0.7581,0.9451,0.8551,0.8919,0.0083,0.5993,0.4999,0.9196,0.0183,0.6629,0.5336,0.9405,0.3654,0.7711,0.6923,0.7767,0.5954,0.8033,0.7251,0.7721,0.5877,0.8179,0.7259,0.8525,0.7098,0.8807,0.8143,0.7781,0.3264,0.5529,0.5525,0.7792,0.3251,0.5645,0.5563,0.8433,0.5362,0.673,0.6842,0.9012,0.4698,0.8963,0.7558,0.9057,0.4956,0.9,0.7671,0.9466,0.7773,0.9562,0.8933,0.8852,0.0648,0.7748,0.5749,0.8952,0.0084,0.7847,0.5628,0.9335,0.2945,0.8862,0.7048
CNN,windows10s,0.5693,0.4828,0.6546,0.5689,0.6301,0.4845,0.6751,0.5965,0.7471,0.7397,0.8133,0.7667,0.7532,0.0057,0.3231,0.3606,0.7778,0,0.3775,0.3851,0.8255,0.1705,0.5721,0.5227,0.497,0.5209,0.5302,0.516,0.5092,0.5415,0.5408,0.5305,0.6175,0.615,0.6142,0.6156,0.2831,0.4767,0.1074,0.2891,0.317,0.4787,0.1056,0.3004,0.4214,0.5426,0.1939,0.386,0.6865,0.4488,0.6078,0.581,0.7137,0.4287,0.685,0.6091,0.8704,0.7778,0.8075,0.8186,0.6201,0,0.5799,0.4,0.6737,0.0027,0.6433,0.4399,0.7998,0.2439,0.7727,0.6055
GRUAttNet,beats0.72s,0.8989,0.7558,0.9667,0.8738,0.9466,0.8044,0.9817,0.9109,0.9888,0.9531,0.9969,0.9796,0.9407,0.1042,0.6365,0.5605,0.9637,0.1052,0.8108,0.6266,0.9922,0.7928,0.9518,0.9123,0.9606,0.9349,0.9791,0.9582,0.9802,0.9705,0.9785,0.9764,0.9931,0.9887,0.9934,0.9917,0.9548,0.4672,0.8145,0.7455,0.9779,0.7058,0.8231,0.8356,0.9887,0.8388,0.9066,0.9114,0.9668,0.8312,0.9705,0.9228,0.9915,0.8538,0.9949,0.9467,0.9985,0.9854,0.9996,0.9945,0.9517,0.3187,0.7204,0.6636,0.9779,0.7418,0.8542,0.858,0.9972,0.8651,0.9874,0.9499
GRUAttNet,beats2.4s,0.8909,0.7493,0.9566,0.8656,0.9177,0.8036,0.9578,0.893,0.9809,0.9496,0.988,0.9729,0.9712,0.0424,0.7789,0.5975,0.9744,0.1897,0.8359,0.6667,0.9889,0.8191,0.9007,0.9029,0.9691,0.9471,0.9766,0.9643,0.9727,0.954,0.9749,0.9672,0.9951,0.9913,0.9951,0.9939,0.9634,0.4777,0.7878,0.743,0.9738,0.6346,0.7936,0.8007,0.9893,0.8484,0.9043,0.914,0.9554,0.698,0.9717,0.875,0.9821,0.8398,0.9845,0.9355,0.9923,0.9455,0.9953,0.9777,0.9601,0.1346,0.7615,0.6187,0.9808,0.7396,0.8613,0.8605,0.9937,0.8541,0.9615,0.9364
