,,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,ARR10000,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL
,,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1
,,test,test,test,test,test,test,test,val,val,val,val,val,val,val,train,train,train,train,train,train,train,test,test,test,test,test,test,test,val,val,val,val,val,val,val,train,train,train,train,train,train,train,test,test,test,test,test,test,test,val,val,val,val,val,val,val,train,train,train,train,train,train,train,test,test,test,test,test,test,test,val,val,val,val,val,val,val,train,train,train,train,train,train,train
,,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all,SINUS,STACH,SBRAD,SVTA,AFIB,AFL,all
CNN,windows2.5s,0.9774,0.9859,0.9976,0.9499,0.9348,0.8462,0.9486,0.9797,0.988,0.998,0.9543,0.9357,0.8367,0.9487,0.9918,0.9958,0.9996,0.9716,0.9729,0.9094,0.9735,0.8486,0.8634,0.9656,0.597,0.6777,0,0.6587,0.8387,0.8601,0.9648,0.623,0.688,0,0.6624,0.9102,0.917,0.9834,0.6673,0.7917,0.0278,0.7162,0.9387,0.9885,0.9343,0.9573,0.9025,0.9407,0.9437,0.9396,0.9881,0.9323,0.946,0.9036,0.945,0.9424,0.9464,0.9921,0.9443,0.9729,0.9155,0.9599,0.9552,0.9477,0.7806,0.4083,0,0.3479,0.0435,0.4213,0.9483,0.7897,0.4227,0,0.3576,0.1778,0.4493,0.9509,0.8134,0.4644,0.0745,0.3987,0.1711,0.4789
CNN,sequence10s,0.7288,0.7818,0.9341,0.7203,0.6803,0.6809,0.7544,0.7363,0.78,0.9309,0.7192,0.6733,0.6935,0.7555,0.8029,0.827,0.971,0.7742,0.7756,0.7621,0.8188,0.3696,0.4002,0.8651,0.0129,0.2412,0.0086,0.3163,0.365,0.3988,0.8542,0.0258,0.2336,0.0043,0.3136,0.4249,0.4625,0.9222,0.0393,0.3182,0.0198,0.3645,0.7492,0.8681,0.7836,0.7525,0.6866,0.7745,0.7691,0.7482,0.8617,0.7905,0.6956,0.6824,0.7666,0.7575,0.8737,0.9498,0.8941,0.9521,0.8503,0.938,0.9097,0.9208,0.3544,0.1409,0,0.083,0,0.2498,0.921,0.3206,0.1562,0,0.0967,0.0435,0.2563,0.935,0.5791,0.2862,0.1729,0.2601,0.1847,0.403
GRUAttNet,windows2.5s,0.9956,0.9963,0.9991,0.9822,0.9909,0.9557,0.9866,0.9958,0.9955,0.9991,0.983,0.9911,0.9545,0.9865,0.9979,0.9984,0.9997,0.9929,0.9948,0.975,0.9931,0.9539,0.9561,0.9846,0.8313,0.8971,0.5062,0.8549,0.9558,0.9592,0.9844,0.8354,0.9025,0.5176,0.8591,0.9653,0.9739,0.9894,0.895,0.9289,0.6656,0.903,0.9853,0.9945,0.9703,0.9826,0.9937,0.9745,0.9835,0.9848,0.9942,0.9692,0.9775,0.9939,0.9851,0.9841,0.9883,0.997,0.9749,0.9942,0.9963,0.9888,0.9899,0.9832,0.9047,0.7354,0,0.9041,0.5684,0.6826,0.983,0.901,0.7372,0.0513,0.9037,0.5532,0.6882,0.986,0.9316,0.7544,0.1676,0.9307,0.6165,0.7311
GRUAttNet,sequence10s,0.9953,0.9966,0.9995,0.9842,0.9919,0.9469,0.9857,0.9958,0.995,0.9996,0.9813,0.9917,0.9509,0.9857,0.9983,0.9981,0.9998,0.9887,0.9943,0.9623,0.9902,0.9616,0.9561,0.9899,0.8223,0.9081,0.4368,0.8458,0.9635,0.9476,0.9914,0.8164,0.9086,0.4651,0.8488,0.9728,0.9679,0.9936,0.851,0.9255,0.5427,0.8756,0.9856,0.9914,0.9696,0.988,0.9946,0.9767,0.9843,0.986,0.9931,0.9688,0.9794,0.9944,0.9755,0.9829,0.9888,0.9945,0.9737,0.992,0.9963,0.9797,0.9875,0.9832,0.8992,0.7538,0,0.9062,0.4516,0.6657,0.9843,0.9096,0.7552,0,0.9156,0.5435,0.6847,0.9855,0.9184,0.76,0.1128,0.9245,0.4753,0.6961
ResNet,windows2.5s,0.9948,0.9945,0.9991,0.9887,0.9917,0.9539,0.9871,0.9958,0.997,0.9993,0.9901,0.9924,0.9647,0.9899,0.9992,0.9995,0.9998,0.998,0.9979,0.9919,0.9977,0.951,0.9519,0.9844,0.8279,0.9061,0.5472,0.8614,0.9562,0.9602,0.9865,0.8544,0.9122,0.5934,0.8771,0.9783,0.9846,0.9932,0.9369,0.9536,0.7966,0.9405,0.9835,0.994,0.9697,0.9836,0.9929,0.9736,0.9829,0.9838,0.9937,0.9685,0.9781,0.9934,0.9821,0.9833,0.9912,0.9984,0.9808,0.9985,0.9974,0.9946,0.9935,0.9794,0.886,0.6822,0.1304,0.8935,0.5625,0.689,0.9801,0.8881,0.6797,0.1333,0.8961,0.5347,0.6853,0.9872,0.9455,0.7533,0.6207,0.9498,0.7195,0.8293
ResNet,sequence10s,0.9947,0.9943,0.9995,0.9829,0.9904,0.9508,0.9854,0.9959,0.9955,0.9991,0.9857,0.991,0.9439,0.9852,0.9991,0.9988,0.9999,0.9955,0.9964,0.982,0.9953,0.9522,0.9512,0.9841,0.7908,0.8935,0.5332,0.8508,0.952,0.9511,0.9843,0.7902,0.8927,0.545,0.8526,0.9767,0.9795,0.9932,0.8881,0.937,0.7329,0.9179,0.9828,0.9928,0.9654,0.9653,0.9922,0.9732,0.9786,0.9844,0.9933,0.968,0.9717,0.9926,0.9672,0.9796,0.991,0.9979,0.9796,0.9946,0.9968,0.9853,0.9908,0.9787,0.8913,0.6581,0.0476,0.8911,0.5376,0.6674,0.9791,0.8872,0.6679,0.2222,0.8939,0.5957,0.7077,0.9861,0.9344,0.7409,0.4029,0.9395,0.657,0.7768
